budget,genres,id,imdb_id,title,production_companies,production_countries,release_date,revenue,runtime,spoken_languages
0,,37005,tt0428212,All Souls Day: Dia de los Muertos,,US,2005-01-01,0,88,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'es', 'name': 'Español'}]"
100000000,"Drama, Crime",4982,tt0765429,American Gangster,"{Imagine Entertainment}, {Universal Pictures}, {Scott Free Productions}, {Relativity Media}, {Film Rites}","GB, US",2007-11-02,266465037,157,"[{'iso_639_1': 'en', 'name': 'English'}]"
18000000,"Crime, Drama, Thriller",7972,tt0292963,Before the Devil Knows You're Dead,"{Capitol Films}, {Linsefilm}, {Unity Productions}, {Michael Cerenzie Productions}, {Funky Buddha Productions}",US,2007-09-26,25005257,117,"[{'iso_639_1': 'en', 'name': 'English'}]"
14000000,Drama,2013,tt0401383,The Diving Bell and the Butterfly,"{France 3 Cinéma}, {The Kennedy/Marshall Company}, {Pathé Renn Productions}, {Banques Populaire Image 7}, {Canal+}, {CinéCinéma}, {C.R.R.A.V. Nord Pas de Calais}, {Région Nord-Pas-de-Calais}","FR, US",2007-05-22,19777647,112,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
25000000,"Crime, Drama, Thriller",6977,tt0477348,No Country for Old Men,"{Miramax Films}, {Scott Rudin Productions}, {Paramount Vantage}, {Mike Zoss Productions}",US,2007-11-08,171600000,122,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
0,"Drama, Comedy",4953,tt0799934,Be Kind Rewind,"{New Line Cinema}, {Partizan}, {Focus Features}","US, GB",2008-01-20,0,102,"[{'iso_639_1': 'en', 'name': 'English'}]"
1000000,Comedy,10520,tt0496328,Itty Bitty Titty Committee,,US,2007-02-09,18479,87,"[{'iso_639_1': 'en', 'name': 'English'}]"
25000000,"Family, Drama, Music",5123,tt0426931,August Rush,"{Warner Bros.}, {CJ Entertainment}, {Southpaw Entertainment}",US,2007-11-21,66122026,114,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Science Fiction, Drama",13363,tt0756683,The Man from Earth,{Falling Sky Entertainment},US,2007-06-10,0,87,"[{'iso_639_1': 'en', 'name': 'English'}]"
35000000,"Action, Adventure, Drama, History",4515,tt0891527,Lions for Lambs,"{Cruise/Wagner Productions}, {United Artists}, {Wildwood Enterprises}, {Andell Entertainment}, {Metro-Goldwyn-Mayer (MGM)}, {Brat Na Pont Productions}",US,2007-10-22,63215872,92,"[{'iso_639_1': 'en', 'name': 'English'}]"
100000000,"Action, Comedy, Drama",5375,tt0486583,Fred Claus,"{Silver Pictures}, {Warner Bros.}, {Jessie Nelson Productions}, {David Dobkin Productions}",US,2007-11-03,97838349,116,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Comedy,2284,tt0457419,Mr. Magorium's Wonder Emporium,"{Mandate Pictures}, {FilmColony}, {Walden Media}, {Ontario Media Development Corporation (OMDC)}, {Gang of Two Productions}","CA, US",2007-11-14,69474661,93,"[{'iso_639_1': 'en', 'name': 'English'}]"
45000000,"Drama, Romance",6639,tt0484740,Love in the Time of Cholera,"{New Line Cinema}, {Grosvenor Park Media Ltd.}",US,2007-10-04,4607608,139,"[{'iso_639_1': 'en', 'name': 'English'}]"
17000000,"Comedy, Science Fiction, Thriller",4723,tt0405336,Southland Tales,"{Universal Pictures}, {Destination Films}, {Persistent Entertainment}, {Wild Bunch}, {MHF Zweite Academy Film}, {Inferno Distribution}, {Darko Entertainment}, {Eden Roc Productions}, {Cherry Road Films}, {Academy Film}","FR, DE, US",2006-05-15,374743,144,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Science Fiction, Mystery",29162,tt0283337,Ever Since the World Ended,{Epidemic Films},US,2001-04-21,0,78,"[{'iso_639_1': 'en', 'name': 'English'}]"
